County,State,Temp,YearRange
Mobile County,Alabama,66.2,Lyme Cases 1992-1996
Monroe County,Alabama,64.6,Lyme Cases 1992-1996
Montgomery County,Alabama,64.1,Lyme Cases 1992-1996
Morgan County,Alabama,59.9,Lyme Cases 1992-1996
Perry County,Alabama,63.2,Lyme Cases 1992-1996
Pickens County,Alabama,62.4,Lyme Cases 1992-1996
Pike County,Alabama,64.1,Lyme Cases 1992-1996
Randolph County,Alabama,60.4,Lyme Cases 1992-1996
Russell County,Alabama,64.1,Lyme Cases 1992-1996
St. Clair County,Alabama,61.0,Lyme Cases 1992-1996
Shelby County,Alabama,61.9,Lyme Cases 1992-1996
Sumter County,Alabama,63.5,Lyme Cases 1992-1996
Talladega County,Alabama,61.4,Lyme Cases 1992-1996
Tallapoosa County,Alabama,61.9,Lyme Cases 1992-1996
Tuscaloosa County,Alabama,62.6,Lyme Cases 1992-1996
Walker County,Alabama,61.3,Lyme Cases 1992-1996
Washington County,Alabama,65.1,Lyme Cases 1992-1996
Wilcox County,Alabama,64.3,Lyme Cases 1992-1996
Winston County,Alabama,59.8,Lyme Cases 1992-1996
Apache County,Arizona,50.2,Lyme Cases 1992-1996
Cochise County,Arizona,61.3,Lyme Cases 1992-1996
Coconino County,Arizona,52.5,Lyme Cases 1992-1996
Gila County,Arizona,59.3,Lyme Cases 1992-1996
Graham County,Arizona,60.8,Lyme Cases 1992-1996
Greenlee County,Arizona,56.0,Lyme Cases 1992-1996
La Paz County,Arizona,71.6,Lyme Cases 1992-1996
Maricopa County,Arizona,70.3,Lyme Cases 1992-1996
Mohave County,Arizona,62.3,Lyme Cases 1992-1996
Navajo County,Arizona,51.8,Lyme Cases 1992-1996
Pima County,Arizona,67.5,Lyme Cases 1992-1996
Pinal County,Arizona,68.6,Lyme Cases 1992-1996
Santa Cruz County,Arizona,60.8,Lyme Cases 1992-1996
Yavapai County,Arizona,59.3,Lyme Cases 1992-1996
Yuma County,Arizona,72.2,Lyme Cases 1992-1996
Arkansas County,Arkansas,61.8,Lyme Cases 1992-1996
Ashley County,Arkansas,63.3,Lyme Cases 1992-1996
Baxter County,Arkansas,57.1,Lyme Cases 1992-1996
Benton County,Arkansas,57.0,Lyme Cases 1992-1996
Boone County,Arkansas,56.4,Lyme Cases 1992-1996
Bradley County,Arkansas,62.6,Lyme Cases 1992-1996
Calhoun County,Arkansas,62.4,Lyme Cases 1992-1996
Carroll County,Arkansas,56.4,Lyme Cases 1992-1996
Chicot County,Arkansas,63.5,Lyme Cases 1992-1996
Clark County,Arkansas,61.5,Lyme Cases 1992-1996
Clay County,Arkansas,58.6,Lyme Cases 1992-1996
Cleburne County,Arkansas,58.9,Lyme Cases 1992-1996
Cleveland County,Arkansas,62.2,Lyme Cases 1992-1996
Columbia County,Arkansas,62.9,Lyme Cases 1992-1996
Conway County,Arkansas,59.9,Lyme Cases 1992-1996
Craighead County,Arkansas,59.4,Lyme Cases 1992-1996
Crawford County,Arkansas,58.9,Lyme Cases 1992-1996
Crittenden County,Arkansas,61.0,Lyme Cases 1992-1996
Cross County,Arkansas,60.4,Lyme Cases 1992-1996
Dallas County,Arkansas,61.8,Lyme Cases 1992-1996
Desha County,Arkansas,62.5,Lyme Cases 1992-1996
Drew County,Arkansas,62.7,Lyme Cases 1992-1996
Faulkner County,Arkansas,60.3,Lyme Cases 1992-1996
Franklin County,Arkansas,58.8,Lyme Cases 1992-1996
Fulton County,Arkansas,56.6,Lyme Cases 1992-1996
Garland County,Arkansas,60.2,Lyme Cases 1992-1996
Grant County,Arkansas,61.7,Lyme Cases 1992-1996
Greene County,Arkansas,58.9,Lyme Cases 1992-1996
Hempstead County,Arkansas,61.9,Lyme Cases 1992-1996
Hot Spring County,Arkansas,61.2,Lyme Cases 1992-1996
Howard County,Arkansas,60.7,Lyme Cases 1992-1996
Independence County,Arkansas,58.8,Lyme Cases 1992-1996
Izard County,Arkansas,57.5,Lyme Cases 1992-1996
Jackson County,Arkansas,59.6,Lyme Cases 1992-1996
Jefferson County,Arkansas,61.9,Lyme Cases 1992-1996
Johnson County,Arkansas,58.2,Lyme Cases 1992-1996
Lafayette County,Arkansas,63.1,Lyme Cases 1992-1996
Lawrence County,Arkansas,58.6,Lyme Cases 1992-1996
Lee County,Arkansas,61.4,Lyme Cases 1992-1996
Lincoln County,Arkansas,62.3,Lyme Cases 1992-1996
Little River County,Arkansas,62.2,Lyme Cases 1992-1996
Logan County,Arkansas,59.7,Lyme Cases 1992-1996
Lonoke County,Arkansas,61.2,Lyme Cases 1992-1996
Madison County,Arkansas,56.0,Lyme Cases 1992-1996
Marion County,Arkansas,56.9,Lyme Cases 1992-1996
Miller County,Arkansas,63.2,Lyme Cases 1992-1996
Mississippi County,Arkansas,60.0,Lyme Cases 1992-1996
Monroe County,Arkansas,61.3,Lyme Cases 1992-1996
Montgomery County,Arkansas,59.5,Lyme Cases 1992-1996
Nevada County,Arkansas,62.1,Lyme Cases 1992-1996
Newton County,Arkansas,56.0,Lyme Cases 1992-1996
Ouachita County,Arkansas,62.4,Lyme Cases 1992-1996
Perry County,Arkansas,60.4,Lyme Cases 1992-1996
Phillips County,Arkansas,61.7,Lyme Cases 1992-1996
Pike County,Arkansas,60.6,Lyme Cases 1992-1996
Poinsett County,Arkansas,59.9,Lyme Cases 1992-1996
Polk County,Arkansas,58.8,Lyme Cases 1992-1996
Pope County,Arkansas,58.7,Lyme Cases 1992-1996
Prairie County,Arkansas,61.3,Lyme Cases 1992-1996
Pulaski County,Arkansas,61.1,Lyme Cases 1992-1996
Randolph County,Arkansas,57.8,Lyme Cases 1992-1996
St. Francis County,Arkansas,60.9,Lyme Cases 1992-1996
Saline County,Arkansas,60.8,Lyme Cases 1992-1996
Scott County,Arkansas,59.4,Lyme Cases 1992-1996
Searcy County,Arkansas,56.9,Lyme Cases 1992-1996
Sebastian County,Arkansas,59.9,Lyme Cases 1992-1996
Sevier County,Arkansas,61.2,Lyme Cases 1992-1996
Sharp County,Arkansas,57.4,Lyme Cases 1992-1996
Stone County,Arkansas,57.7,Lyme Cases 1992-1996
Union County,Arkansas,62.9,Lyme Cases 1992-1996
Van Buren County,Arkansas,58.1,Lyme Cases 1992-1996
Washington County,Arkansas,57.1,Lyme Cases 1992-1996
White County,Arkansas,60.2,Lyme Cases 1992-1996
Woodruff County,Arkansas,60.6,Lyme Cases 1992-1996
Yell County,Arkansas,60.1,Lyme Cases 1992-1996
Alameda County,California,59.2,Lyme Cases 1992-1996
Alpine County,California,43.8,Lyme Cases 1992-1996
Amador County,California,57.4,Lyme Cases 1992-1996
Butte County,California,59.5,Lyme Cases 1992-1996
Calaveras County,California,57.9,Lyme Cases 1992-1996
Colusa County,California,61.1,Lyme Cases 1992-1996
Contra Costa County,California,60.0,Lyme Cases 1992-1996
Del Norte County,California,52.3,Lyme Cases 1992-1996
El Dorado County,California,53.7,Lyme Cases 1992-1996
Fresno County,California,55.6,Lyme Cases 1992-1996
Glenn County,California,60.0,Lyme Cases 1992-1996
Humboldt County,California,54.1,Lyme Cases 1992-1996
Imperial County,California,73.5,Lyme Cases 1992-1996
Inyo County,California,60.7,Lyme Cases 1992-1996
Kern County,California,61.8,Lyme Cases 1992-1996
Kings County,California,63.8,Lyme Cases 1992-1996
Lake County,California,56.9,Lyme Cases 1992-1996
Lassen County,California,46.8,Lyme Cases 1992-1996
Los Angeles County,California,61.6,Lyme Cases 1992-1996
Madera County,California,56.2,Lyme Cases 1992-1996
Marin County,California,56.0,Lyme Cases 1992-1996
Mariposa County,California,55.2,Lyme Cases 1992-1996
Mendocino County,California,55.4,Lyme Cases 1992-1996
Merced County,California,62.2,Lyme Cases 1992-1996
Modoc County,California,46.5,Lyme Cases 1992-1996
Mono County,California,44.0,Lyme Cases 1992-1996
Monterey County,California,58.8,Lyme Cases 1992-1996
Napa County,California,59.3,Lyme Cases 1992-1996
Nevada County,California,52.2,Lyme Cases 1992-1996
Orange County,California,64.0,Lyme Cases 1992-1996
Placer County,California,53.5,Lyme Cases 1992-1996
Plumas County,California,47.5,Lyme Cases 1992-1996
Riverside County,California,68.0,Lyme Cases 1992-1996
Sacramento County,California,61.8,Lyme Cases 1992-1996
San Benito County,California,59.0,Lyme Cases 1992-1996
San Bernardino County,California,66.3,Lyme Cases 1992-1996
San Diego County,California,62.6,Lyme Cases 1992-1996
San Francisco County,California,57.1,Lyme Cases 1992-1996
San Joaquin County,California,61.9,Lyme Cases 1992-1996
San Luis Obispo County,California,59.2,Lyme Cases 1992-1996
San Mateo County,California,56.9,Lyme Cases 1992-1996
Santa Barbara County,California,58.7,Lyme Cases 1992-1996
Santa Clara County,California,58.4,Lyme Cases 1992-1996
Santa Cruz County,California,57.2,Lyme Cases 1992-1996
Shasta County,California,55.1,Lyme Cases 1992-1996
Sierra County,California,47.1,Lyme Cases 1992-1996
Siskiyou County,California,49.1,Lyme Cases 1992-1996
Solano County,California,60.9,Lyme Cases 1992-1996
Sonoma County,California,57.1,Lyme Cases 1992-1996
Stanislaus County,California,61.5,Lyme Cases 1992-1996
Sutter County,California,62.7,Lyme Cases 1992-1996
Tehama County,California,58.4,Lyme Cases 1992-1996
Trinity County,California,52.7,Lyme Cases 1992-1996
Tulare County,California,54.6,Lyme Cases 1992-1996
Tuolumne County,California,50.0,Lyme Cases 1992-1996
Ventura County,California,58.0,Lyme Cases 1992-1996
Yolo County,California,61.8,Lyme Cases 1992-1996
Yuba County,California,60.6,Lyme Cases 1992-1996
Adams County,Colorado,49.3,Lyme Cases 1992-1996
Alamosa County,Colorado,41.9,Lyme Cases 1992-1996
Arapahoe County,Colorado,48.9,Lyme Cases 1992-1996
Archuleta County,Colorado,43.3,Lyme Cases 1992-1996
Baca County,Colorado,53.2,Lyme Cases 1992-1996
Bent County,Colorado,53.2,Lyme Cases 1992-1996
Boulder County,Colorado,44.5,Lyme Cases 1992-1996
Broomfield County,Colorado,50.3,Lyme Cases 1992-1996
Chaffee County,Colorado,37.5,Lyme Cases 1992-1996
Cheyenne County,Colorado,50.6,Lyme Cases 1992-1996
Clear Creek County,Colorado,36.8,Lyme Cases 1992-1996
Conejos County,Colorado,39.5,Lyme Cases 1992-1996
Costilla County,Colorado,41.3,Lyme Cases 1992-1996
Crowley County,Colorado,51.3,Lyme Cases 1992-1996
Custer County,Colorado,40.9,Lyme Cases 1992-1996
Delta County,Colorado,46.6,Lyme Cases 1992-1996
Denver County,Colorado,50.4,Lyme Cases 1992-1996
Dolores County,Colorado,43.0,Lyme Cases 1992-1996
Douglas County,Colorado,46.9,Lyme Cases 1992-1996
Eagle County,Colorado,39.1,Lyme Cases 1992-1996
Elbert County,Colorado,47.2,Lyme Cases 1992-1996
El Paso County,Colorado,47.2,Lyme Cases 1992-1996
Fremont County,Colorado,45.1,Lyme Cases 1992-1996
Garfield County,Colorado,43.3,Lyme Cases 1992-1996
Gilpin County,Colorado,39.1,Lyme Cases 1992-1996
Grand County,Colorado,36.9,Lyme Cases 1992-1996
Gunnison County,Colorado,38.0,Lyme Cases 1992-1996
Hinsdale County,Colorado,35.4,Lyme Cases 1992-1996
Huerfano County,Colorado,46.3,Lyme Cases 1992-1996
Jackson County,Colorado,36.5,Lyme Cases 1992-1996
Jefferson County,Colorado,46.1,Lyme Cases 1992-1996
Kiowa County,Colorado,51.9,Lyme Cases 1992-1996
Kit Carson County,Colorado,49.9,Lyme Cases 1992-1996
Lake County,Colorado,34.1,Lyme Cases 1992-1996
La Plata County,Colorado,44.4,Lyme Cases 1992-1996
Larimer County,Colorado,42.0,Lyme Cases 1992-1996
Las Animas County,Colorado,50.5,Lyme Cases 1992-1996
Lincoln County,Colorado,49.2,Lyme Cases 1992-1996
Logan County,Colorado,49.5,Lyme Cases 1992-1996
Mesa County,Colorado,47.3,Lyme Cases 1992-1996
Mineral County,Colorado,36.0,Lyme Cases 1992-1996
Moffat County,Colorado,43.6,Lyme Cases 1992-1996
Montezuma County,Colorado,48.4,Lyme Cases 1992-1996
Montrose County,Colorado,47.5,Lyme Cases 1992-1996
Morgan County,Colorado,49.1,Lyme Cases 1992-1996
Otero County,Colorado,52.9,Lyme Cases 1992-1996
Ouray County,Colorado,41.4,Lyme Cases 1992-1996
Park County,Colorado,37.8,Lyme Cases 1992-1996
Phillips County,Colorado,49.3,Lyme Cases 1992-1996
Pitkin County,Colorado,37.5,Lyme Cases 1992-1996
Prowers County,Colorado,53.2,Lyme Cases 1992-1996
Pueblo County,Colorado,51.5,Lyme Cases 1992-1996
Rio Blanco County,Colorado,43.9,Lyme Cases 1992-1996
Rio Grande County,Colorado,38.6,Lyme Cases 1992-1996
Routt County,Colorado,39.3,Lyme Cases 1992-1996
Saguache County,Colorado,38.6,Lyme Cases 1992-1996
San Juan County,Colorado,34.8,Lyme Cases 1992-1996
San Miguel County,Colorado,44.7,Lyme Cases 1992-1996
Sedgwick County,Colorado,49.3,Lyme Cases 1992-1996
Summit County,Colorado,35.1,Lyme Cases 1992-1996
Teller County,Colorado,39.6,Lyme Cases 1992-1996
Washington County,Colorado,49.3,Lyme Cases 1992-1996
Weld County,Colorado,48.4,Lyme Cases 1992-1996
Yuma County,Colorado,50.2,Lyme Cases 1992-1996
Fairfield County,Connecticut,50.0,Lyme Cases 1992-1996
Hartford County,Connecticut,49.2,Lyme Cases 1992-1996
Litchfield County,Connecticut,46.6,Lyme Cases 1992-1996
Middlesex County,Connecticut,49.8,Lyme Cases 1992-1996
New Haven County,Connecticut,49.9,Lyme Cases 1992-1996
New London County,Connecticut,49.7,Lyme Cases 1992-1996
Tolland County,Connecticut,48.1,Lyme Cases 1992-1996
Windham County,Connecticut,48.3,Lyme Cases 1992-1996
Kent County,Delaware,54.8,Lyme Cases 1992-1996
New Castle County,Delaware,54.0,Lyme Cases 1992-1996
Sussex County,Delaware,55.4,Lyme Cases 1992-1996
Alachua County,Florida,69.0,Lyme Cases 1992-1996
Baker County,Florida,67.8,Lyme Cases 1992-1996
Bay County,Florida,67.3,Lyme Cases 1992-1996
Bradford County,Florida,68.6,Lyme Cases 1992-1996
Brevard County,Florida,72.6,Lyme Cases 1992-1996
Broward County,Florida,75.3,Lyme Cases 1992-1996
Calhoun County,Florida,66.8,Lyme Cases 1992-1996
Charlotte County,Florida,73.7,Lyme Cases 1992-1996
Citrus County,Florida,70.4,Lyme Cases 1992-1996
Clay County,Florida,68.8,Lyme Cases 1992-1996
Collier County,Florida,75.0,Lyme Cases 1992-1996
Columbia County,Florida,67.8,Lyme Cases 1992-1996
DeSoto County,Florida,72.9,Lyme Cases 1992-1996
Dixie County,Florida,68.3,Lyme Cases 1992-1996
Duval County,Florida,68.5,Lyme Cases 1992-1996
Escambia County,Florida,66.6,Lyme Cases 1992-1996
Flagler County,Florida,70.0,Lyme Cases 1992-1996
Franklin County,Florida,67.7,Lyme Cases 1992-1996
Gadsden County,Florida,66.8,Lyme Cases 1992-1996
Gilchrist County,Florida,68.3,Lyme Cases 1992-1996
Glades County,Florida,73.6,Lyme Cases 1992-1996
Gulf County,Florida,67.3,Lyme Cases 1992-1996
Hamilton County,Florida,67.2,Lyme Cases 1992-1996
Hardee County,Florida,72.5,Lyme Cases 1992-1996
Hendry County,Florida,74.2,Lyme Cases 1992-1996
Hernando County,Florida,70.7,Lyme Cases 1992-1996
Highlands County,Florida,73.0,Lyme Cases 1992-1996
Hillsborough County,Florida,72.1,Lyme Cases 1992-1996
Holmes County,Florida,66.1,Lyme Cases 1992-1996
Indian River County,Florida,72.8,Lyme Cases 1992-1996
Jackson County,Florida,66.8,Lyme Cases 1992-1996
Jefferson County,Florida,67.1,Lyme Cases 1992-1996
Lafayette County,Florida,67.7,Lyme Cases 1992-1996
Lake County,Florida,71.1,Lyme Cases 1992-1996
Lee County,Florida,74.4,Lyme Cases 1992-1996
Leon County,Florida,67.1,Lyme Cases 1992-1996
Levy County,Florida,69.1,Lyme Cases 1992-1996
Liberty County,Florida,66.9,Lyme Cases 1992-1996
Madison County,Florida,67.1,Lyme Cases 1992-1996
Manatee County,Florida,72.6,Lyme Cases 1992-1996
Marion County,Florida,69.9,Lyme Cases 1992-1996
Martin County,Florida,74.0,Lyme Cases 1992-1996
Miami-Dade County,Florida,75.7,Lyme Cases 1992-1996
Monroe County,Florida,76.2,Lyme Cases 1992-1996
Nassau County,Florida,67.9,Lyme Cases 1992-1996
Okaloosa County,Florida,66.2,Lyme Cases 1992-1996
Okeechobee County,Florida,73.2,Lyme Cases 1992-1996
Orange County,Florida,72.1,Lyme Cases 1992-1996
Osceola County,Florida,72.6,Lyme Cases 1992-1996
Palm Beach County,Florida,74.5,Lyme Cases 1992-1996
Pasco County,Florida,71.1,Lyme Cases 1992-1996
Pinellas County,Florida,72.5,Lyme Cases 1992-1996
Polk County,Florida,72.4,Lyme Cases 1992-1996
Putnam County,Florida,69.6,Lyme Cases 1992-1996
St. Johns County,Florida,69.2,Lyme Cases 1992-1996
St. Lucie County,Florida,73.5,Lyme Cases 1992-1996
Santa Rosa County,Florida,66.5,Lyme Cases 1992-1996
Sarasota County,Florida,73.2,Lyme Cases 1992-1996
Seminole County,Florida,71.9,Lyme Cases 1992-1996
Sumter County,Florida,70.7,Lyme Cases 1992-1996
Suwannee County,Florida,67.7,Lyme Cases 1992-1996
Taylor County,Florida,67.7,Lyme Cases 1992-1996
Union County,Florida,68.3,Lyme Cases 1992-1996
Volusia County,Florida,71.1,Lyme Cases 1992-1996
Wakulla County,Florida,67.5,Lyme Cases 1992-1996
Walton County,Florida,66.2,Lyme Cases 1992-1996
Washington County,Florida,66.8,Lyme Cases 1992-1996
Appling County,Georgia,65.9,Lyme Cases 1992-1996
Atkinson County,Georgia,66.0,Lyme Cases 1992-1996
Bacon County,Georgia,66.1,Lyme Cases 1992-1996
Baker County,Georgia,66.1,Lyme Cases 1992-1996
Baldwin County,Georgia,63.1,Lyme Cases 1992-1996
Banks County,Georgia,60.0,Lyme Cases 1992-1996
Barrow County,Georgia,60.3,Lyme Cases 1992-1996
Bartow County,Georgia,59.9,Lyme Cases 1992-1996
Ben Hill County,Georgia,65.3,Lyme Cases 1992-1996
Berrien County,Georgia,65.7,Lyme Cases 1992-1996
Bibb County,Georgia,63.2,Lyme Cases 1992-1996
Bleckley County,Georgia,64.3,Lyme Cases 1992-1996
Brantley County,Georgia,66.4,Lyme Cases 1992-1996
Brooks County,Georgia,66.2,Lyme Cases 1992-1996
Bryan County,Georgia,66.0,Lyme Cases 1992-1996
Bulloch County,Georgia,65.1,Lyme Cases 1992-1996
Burke County,Georgia,63.8,Lyme Cases 1992-1996
Butts County,Georgia,61.6,Lyme Cases 1992-1996
Calhoun County,Georgia,65.6,Lyme Cases 1992-1996
Camden County,Georgia,67.4,Lyme Cases 1992-1996
Candler County,Georgia,65.0,Lyme Cases 1992-1996
Carroll County,Georgia,59.7,Lyme Cases 1992-1996
Catoosa County,Georgia,59.2,Lyme Cases 1992-1996
Charlton County,Georgia,67.1,Lyme Cases 1992-1996
Chatham County,Georgia,66.1,Lyme Cases 1992-1996
Chattahoochee County,Georgia,64.0,Lyme Cases 1992-1996
Chattooga County,Georgia,59.6,Lyme Cases 1992-1996
Cherokee County,Georgia,59.1,Lyme Cases 1992-1996
Clarke County,Georgia,60.8,Lyme Cases 1992-1996
Clay County,Georgia,65.2,Lyme Cases 1992-1996
Clayton County,Georgia,60.9,Lyme Cases 1992-1996
Clinch County,Georgia,66.7,Lyme Cases 1992-1996
Cobb County,Georgia,59.9,Lyme Cases 1992-1996
Coffee County,Georgia,65.7,Lyme Cases 1992-1996
Colquitt County,Georgia,65.9,Lyme Cases 1992-1996
Columbia County,Georgia,63.0,Lyme Cases 1992-1996
Cook County,Georgia,65.9,Lyme Cases 1992-1996
Coweta County,Georgia,60.8,Lyme Cases 1992-1996
Crawford County,Georgia,63.0,Lyme Cases 1992-1996
Crisp County,Georgia,64.6,Lyme Cases 1992-1996
Dade County,Georgia,58.3,Lyme Cases 1992-1996
Dawson County,Georgia,57.9,Lyme Cases 1992-1996
Decatur County,Georgia,66.6,Lyme Cases 1992-1996
DeKalb County,Georgia,60.4,Lyme Cases 1992-1996
Dodge County,Georgia,64.8,Lyme Cases 1992-1996
Dooly County,Georgia,64.3,Lyme Cases 1992-1996
Dougherty County,Georgia,65.9,Lyme Cases 1992-1996
Douglas County,Georgia,59.9,Lyme Cases 1992-1996
Early County,Georgia,65.9,Lyme Cases 1992-1996
Echols County,Georgia,66.8,Lyme Cases 1992-1996
Effingham County,Georgia,65.2,Lyme Cases 1992-1996
Elbert County,Georgia,60.8,Lyme Cases 1992-1996
Emanuel County,Georgia,64.6,Lyme Cases 1992-1996
Evans County,Georgia,65.5,Lyme Cases 1992-1996
Fannin County,Georgia,55.5,Lyme Cases 1992-1996
Fayette County,Georgia,60.9,Lyme Cases 1992-1996
Floyd County,Georgia,60.1,Lyme Cases 1992-1996
Forsyth County,Georgia,59.0,Lyme Cases 1992-1996
Franklin County,Georgia,60.3,Lyme Cases 1992-1996
Fulton County,Georgia,60.1,Lyme Cases 1992-1996
Gilmer County,Georgia,56.5,Lyme Cases 1992-1996
Glascock County,Georgia,63.0,Lyme Cases 1992-1996
Glynn County,Georgia,67.2,Lyme Cases 1992-1996
Gordon County,Georgia,59.8,Lyme Cases 1992-1996
Grady County,Georgia,66.5,Lyme Cases 1992-1996
Greene County,Georgia,61.6,Lyme Cases 1992-1996
Gwinnett County,Georgia,59.9,Lyme Cases 1992-1996
Habersham County,Georgia,58.1,Lyme Cases 1992-1996
Hall County,Georgia,59.3,Lyme Cases 1992-1996
Hancock County,Georgia,62.6,Lyme Cases 1992-1996
Haralson County,Georgia,59.1,Lyme Cases 1992-1996
Harris County,Georgia,62.5,Lyme Cases 1992-1996
Hart County,Georgia,60.3,Lyme Cases 1992-1996
Heard County,Georgia,60.7,Lyme Cases 1992-1996
Henry County,Georgia,61.2,Lyme Cases 1992-1996
Houston County,Georgia,64.0,Lyme Cases 1992-1996
Irwin County,Georgia,65.3,Lyme Cases 1992-1996
Jackson County,Georgia,60.3,Lyme Cases 1992-1996
Jasper County,Georgia,61.7,Lyme Cases 1992-1996
Jeff Davis County,Georgia,65.5,Lyme Cases 1992-1996
Jefferson County,Georgia,63.6,Lyme Cases 1992-1996
Jenkins County,Georgia,64.2,Lyme Cases 1992-1996
Johnson County,Georgia,64.2,Lyme Cases 1992-1996
Jones County,Georgia,62.6,Lyme Cases 1992-1996
Lamar County,Georgia,61.6,Lyme Cases 1992-1996
Lanier County,Georgia,66.1,Lyme Cases 1992-1996
Laurens County,Georgia,64.6,Lyme Cases 1992-1996
Lee County,Georgia,65.3,Lyme Cases 1992-1996
Liberty County,Georgia,66.3,Lyme Cases 1992-1996
Lincoln County,Georgia,62.2,Lyme Cases 1992-1996
Long County,Georgia,66.4,Lyme Cases 1992-1996
Lowndes County,Georgia,66.2,Lyme Cases 1992-1996
Lumpkin County,Georgia,57.0,Lyme Cases 1992-1996
McDuffie County,Georgia,62.5,Lyme Cases 1992-1996
McIntosh County,Georgia,67.0,Lyme Cases 1992-1996
Macon County,Georgia,63.8,Lyme Cases 1992-1996
Madison County,Georgia,60.4,Lyme Cases 1992-1996
Marion County,Georgia,63.5,Lyme Cases 1992-1996
Meriwether County,Georgia,61.4,Lyme Cases 1992-1996
Miller County,Georgia,66.2,Lyme Cases 1992-1996
Mitchell County,Georgia,66.2,Lyme Cases 1992-1996
Monroe County,Georgia,62.1,Lyme Cases 1992-1996
Montgomery County,Georgia,65.2,Lyme Cases 1992-1996
Morgan County,Georgia,61.4,Lyme Cases 1992-1996
Murray County,Georgia,58.6,Lyme Cases 1992-1996
Muscogee County,Georgia,63.8,Lyme Cases 1992-1996
Newton County,Georgia,61.1,Lyme Cases 1992-1996
Oconee County,Georgia,61.0,Lyme Cases 1992-1996
Oglethorpe County,Georgia,60.9,Lyme Cases 1992-1996
Paulding County,Georgia,59.6,Lyme Cases 1992-1996
Peach County,Georgia,63.5,Lyme Cases 1992-1996
Pickens County,Georgia,58.1,Lyme Cases 1992-1996
Pierce County,Georgia,66.5,Lyme Cases 1992-1996
Pike County,Georgia,61.5,Lyme Cases 1992-1996
Polk County,Georgia,59.7,Lyme Cases 1992-1996
Pulaski County,Georgia,64.6,Lyme Cases 1992-1996
Putnam County,Georgia,62.2,Lyme Cases 1992-1996
Quitman County,Georgia,64.7,Lyme Cases 1992-1996
Rabun County,Georgia,55.8,Lyme Cases 1992-1996
Randolph County,Georgia,64.7,Lyme Cases 1992-1996
Richmond County,Georgia,63.6,Lyme Cases 1992-1996
Rockdale County,Georgia,60.9,Lyme Cases 1992-1996
Schley County,Georgia,63.8,Lyme Cases 1992-1996
Screven County,Georgia,64.3,Lyme Cases 1992-1996
Seminole County,Georgia,66.6,Lyme Cases 1992-1996
Spalding County,Georgia,61.4,Lyme Cases 1992-1996
Stephens County,Georgia,60.0,Lyme Cases 1992-1996
Stewart County,Georgia,64.1,Lyme Cases 1992-1996
